property_id,description,room_type,price_tier
27029421,Modern Living in Soho/Noho/West Village,Entire home/apt,2
32238253,Sonder | Stock Exchange | Airy 1BR + Lounge,Entire home/apt,2
1337148,Sunny Top Floor Uptown Apartment,Entire home/apt,2
10567332,Private room 1 block from Bedford L,Private room,0
4736912,Room in Manhattan (Upper West Side),Private room,0
29835357,East Village Oasis,Entire home/apt,2
9129113,Private Room in Bushwick - Brooklyn,Private room,0
21936550,NYC master room with independent restroom for 2,Private room,1
23501343,Columbia University Area,Private room,0
36447683,2B2B/3 beds entire place in luxury building,Entire home/apt,2
15648096,Spacious 2 bedroom close to Manhattan,Entire home/apt,1
2042764,Architect's home in Park Slope,Entire home/apt,2
9394188,Room for 1 Female or Couple,Private room,0
10072022,Spacious 1 bedroom in the heart of Soho,Entire home/apt,3
11040458,Huge 3 bedroom apt in West Harlem,Entire home/apt,3
35265786,Cozy bedroom in Long Island City,Private room,1
19830557,Modern room in renovated Williamsburg apartment,Private room,1
34470862,Beautiful brand new studio/1BR,Entire home/apt,2
33500292,Close to JFK,Private room,0
13430012,Gorgeous 1 Bedroom NYC + W/D in the Unit,Entire home/apt,2
11988251,Cozy & Comfortable Private Bedroom,Private room,0
30193131,*NO GUEST SERVICE FEE* Beekman Tower Two Bedroom  #1,Entire home/apt,3
4644828,Hip&Central! Charming Williamsburg!,Entire home/apt,2
33752082,"Hotel-like Private Room, KING Bed 25 min NYC",Private room,0
13389082,Ex-Artist Studio w/ Huge Skylight Guest Suite,Entire home/apt,2
22602996,Private room near Central Park and Subway!,Private room,1
1325472,"Sunny, Huge, Quiet Room Doorman Bld",Private room,1
13975292,"Sunny, peaceful home in fantastic location",Private room,1
18265387,Beautiful Room with Private Bathroom by Bushwick!!,Private room,0
2128464,Warm & Spacious (not available),Private room,0
28961919,Linda's Place,Private room,0
18444575,"Bright, open 1BD in the heart of Nolita",Entire home/apt,2
14169399,New York City - World of Antiques,Entire home/apt,1
2803013,Columbus Circle/Central Park - WIFI,Entire home/apt,2
35005489,Exquisite Park Slope Paradise,Entire home/apt,3
6105240,Ideal Greenpoint Location,Entire home/apt,2
30427406,Cozy Room for the Holidays in the Heart of Astoria,Shared room,0
33524882,Chic+Charming Soho Loft Apartment [True 1BR],Entire home/apt,2
31596199,Entire Contemporary Bronx home,Entire home/apt,2
14362124,Simple PRIVATE ROOM in UNION SQUARE,Private room,1
30295881,Cozy Chinatown Apartment,Private room,1
20815900,Huge One of A Kind Loft West Village/Meatpacking,Private room,1
18449954,Delightful Brooklyn Studio,Entire home/apt,1
6680201,NYC Crash Pad,Private room,0
1925224,"Beautiful, large, charming spot",Entire home/apt,2
32695800,Thanksgiving - New York City (A144),Entire home/apt,3
34020020,"Charming, quiet and lovely Brooklyn Heights Studio",Entire home/apt,2
30735839,Comfy & Modern Private Bedroom w/ Bunkbed,Private room,0
1644146,"Quaint, beautiful studio Brooklyn",Entire home/apt,2
34245778,Mi Rincón acogedor!,Private room,0
21192284,Large studio in Midtown Manhattan,Entire home/apt,2
4033521,Brooklyn 1 BR Near Subway,Entire home/apt,0
10491207,Priv. Room in Bushwick near L Train,Private room,0
31936078,Midtown sleep space,Private room,2
29272336,Beautiful Bushwick Oasis,Private room,0
10447691,Sunny room in Lower East Side Apt!,Private room,0
15074005,"Home 4 Medical Professionals - The ""Trigeminal""",Private room,0
20659824,☺Kinda feels JUST LIKE HOME! ☺ [BEST RATE],Private room,0
35540762,驿站,Private room,0
18077742,Cozy Washington Heights Studio,Entire home/apt,0
33852604,Sunny-Junior-one bedroom-Prospect/Lefferts garden,Entire home/apt,2
32959315,Luxury 3 BR loft for the ideal NYC experience!,Entire home/apt,2
34718143,Charming & Cozy Bedroom in Manhattan,Private room,1
20223927,"True Skyline View, minutes to Manhattan",Private room,1
34313143,Superior 1BR in FiDi by Sonder,Entire home/apt,3
5010368,Upper East Side Gem!,Entire home/apt,2
1888006,"14 Min 2Union Sq, Manhattan with Private Entrance",Private room,0
29514964,Beautiful Queen Bed Room - Entire Apt!,Entire home/apt,2
7728553,GR8 CARROLL GARDENS/ENTIRE STUDIO/!,Entire home/apt,2
32736925,One bedroom unit in Lower East side.,Entire home/apt,2
8407577,Real New York Home - Times Square,Entire home/apt,3
4028670,Luxury 1 Bedroom Sublet ,Entire home/apt,2
35617505,Walking to Central Park!!! Private bedroom!!,Private room,1
22164078,Large Modern Chelsea Studio,Entire home/apt,2
27061623,"Stylish, Minimalist Family Pad in Carroll Gardens",Entire home/apt,2
6659165,Room available in BUSHWICK!,Private room,1
27018851,Bright and Spacious Apartment,Entire home/apt,2
32310645,Brooklyn Two Bedroom APT near the TRAIN,Entire home/apt,2
33014,NYC Zen,Entire home/apt,2
30145840,Luxurious private room near subway B/C stations,Private room,0
8930935,Cozy apartment in Brooklyn,Entire home/apt,2
2627951,Cozy private space in a brand new apartment,Private room,1
15080936,"Home 4 Medical Professionals- The ""Tamponade""",Private room,0
22448088,Room for rent in the heart of Manhattan,Private room,1
26638676,Home Sweat Home,Entire home/apt,1
24208976,Spacious Room in Clinton Hill Duplex,Private room,0
33796136,Sunny Long Island City Studio,Entire home/apt,2
14966184,Stay in a beautiful apartment&experience Harlem!,Private room,1
35079012,Amazing Williamsburg Apartment,Entire home/apt,2
12148215,Luxury April Sublet in Manhattan NY,Private room,0
13486680,Large room in Sugar Hill,Private room,0
21715735,The BEST LOCATION in Brooklyn,Private room,0
29533631,"Colorful, cozy, artsy bedroom in heart of bushwick",Private room,0
28284445,New 3BR 2Full bath Apartment with Dryer & Washer,Entire home/apt,2
32069538,Harlem Residence 2,Private room,0
35542412,Private Patio Williamsburg 2BD/2BA Next to Subway!,Entire home/apt,3
20584333,Outstanding Private Room + Bath + Outdoor Space,Private room,0
29831510,Private Room 2 - Next to Central Park / CU,Private room,1
23269735,Light Flooded Artist Loft in Brooklyn,Entire home/apt,2
29626157,Sun Drenched 1-Bed in the Heart of Park Slope,Entire home/apt,2
23277230,2 bedrooms flat near Central Park,Entire home/apt,3
6449002,SoHo/Greenwich Village 1BR Apt,Entire home/apt,2
1194508,Sunny room - Prime Location,Private room,1
28862464,Harlem Gem,Private room,2
34575989,The Clifton Place,Private room,2
34711272,Double bed in living room - heart of Manhattan,Shared room,1
22586049,Charming Traditional Brooklyn Apartment,Entire home/apt,2
6684697,"Modern Williamsburg apt w/Gym, Roof",Entire home/apt,2
29489013,Exclusive ♥  | Bed-Stuy Sanctuary,Private room,0
35883107,Unbeatable & Massive Midtown 3 Bedroom Apt,Entire home/apt,3
34364716,La Kings Highway unwinding,Private room,1
10209973,GREAT BIG ROOM IN APT. W/ BALCONY,Private room,1
25015511,Humble Home in Harlem,Private room,1
35598472,Clean Affordable Luxury Studio on Wall St,Entire home/apt,2
20697637,Sun-Filled Artist's Duplex In Heart of W. Village,Entire home/apt,3
4203460,1 Br Near Empire State Building,Entire home/apt,2
22357450,Stunning & spacious loft in the heart of W.berg,Entire home/apt,2
33633697,Olive's Guest Quarters #3,Private room,2
35189446,Spacious And Sunny Luxurious 1 Bedroom Apartment,Entire home/apt,2
22173085,Spacious & Simple 1BR Apartment for the Holidays!,Entire home/apt,1
30637957,Doorman Elevator Prime Location UN! 5242,Entire home/apt,2
34124949,"Apartment for rent in EV, ten min from WSP",Private room,0
30130328,Charming Apartment in Wonderful Nolita,Entire home/apt,2
33930925,"Spacious Private Room W 3 Nearby Trains, In Queens",Private room,0
19164752,Great 1 bedroom apartment in Manhattan,Entire home/apt,1
22041636,Williamsburg Apartment by L Train,Private room,0
30442290,Modern Private Bedroom in Stuyvesant Madison 3L-5,Private room,0
24872721,Light filled spacious 2 bed room apartment,Entire home/apt,2
2023357,Artistic n Funky 1BD by the Park!,Entire home/apt,2
9393885,three bedroom in east village,Entire home/apt,3
19456810,Hillside Hotel,Private room,1
35365315,A huge studio by the Fulton Station,Entire home/apt,2
24367113,( Private Garden )  Where Hansel and Gretel live.,Entire home/apt,2
696593,Park Slope One bedroom with Balcony,Entire home/apt,2
5414911,“纽约之家 ”独立洗手间PrivateBathroom,Private room,0
19227365,Master bedroom in large apt minutes from Manhattan,Private room,0
1009883,"Modern, Carroll Garden Townhouse",Entire home/apt,3
4206087,Spacious Artist's Studio,Entire home/apt,2
4546034,1BR by 1&A trains,Private room,1
404923,Private Garden Entry,Entire home/apt,1
25826245,Morningside Heights Gem,Entire home/apt,2
19860469,Ideal Private Room in the Heart of Williamsburg,Private room,1
23488098,Cozy room close to subway,Private room,0
21588805,Sun Drenched Williamsburg 1 BR | Prime Location,Entire home/apt,2
35155320,Sonder | 116 John | Modern Studio + Rooftop,Entire home/apt,2
9790995,Cozy room around Union Square,Private room,2
11782585,Beautiful Studio in heart of UWS,Entire home/apt,2
10353094,Clean room for rent in Park Slope,Private room,0
4053287,Spacious Apartment with River Views!,Entire home/apt,2
2359340,ART COLLECTORS APARTMENT - TIMES SQUARE-10TH AV.,Entire home/apt,2
22114333,Sun & Central Park,Private room,1
34284409,Sonder | 116 John | Modern Studio + Gym,Entire home/apt,1
8518051,Cozy Living Environment,Entire home/apt,1
35253003,Beautiful sunny room in prime location,Private room,1
8145603,"Spacious, Beautiful, Private Room",Private room,1
20540868,Cozy apt in Astoria near train and bus,Entire home/apt,2
8097567,Giant Sunny Room at Brooklyn&Breakfast,Private room,1
21471116,Sweet Home in the Heart of Manhattan,Private room,2
36312522,Modern Room in Heart of Harlem,Private room,1
8013780,Cute East Village Room for 1,Private room,0
28525440,Art & Expression Inn,Private room,0
24609263,Beautiful 2bdr apt in Brooklyn near to everything.,Entire home/apt,2
27593034,Cozy Manhattan apartment!,Entire home/apt,3
30710341,Zohar’s Apartment,Entire home/apt,2
21762711,Large House in Brooklyn near Express Subway,Entire home/apt,3
21550105,Cozy & Tidy Private Room at Upper West Manhattan,Private room,1
33959697,Sun-drenched apartment in Washington Heights,Private room,0
4976919,"Huge artist loft, heart of W'Burg!",Private room,0
2557654,East Village Charm,Private room,1
29104786,Amazing room for your  holidays,Private room,0
31796691,Spacious 2 bedroom apt in Bensonhurst - Sleeps 10,Entire home/apt,2
23024656,Harlem cozy nights,Entire home/apt,2
19246021,"City Room, City View",Private room,0
22587295,Luxury apartment in beautiful Boerum Hill!,Entire home/apt,2
20785435,Rest Assured Private room/Ensuite bath nearJFK,Private room,0
16709795,"Beautiful Upper East Side 1 BR Apt, Charming!",Entire home/apt,2
1156499,MODERN/ SUBWAY/TERRACE/LOFT/ LARGE MASTER BEDROOM,Private room,2
30378040,Artsy Stuyvesant Private Bedroom Madison 2L-1,Private room,0
921441,Artsy Bedroom/Office in WaHi,Private room,1
8439145,"Beautiful, Secure, Central NYC Apartment!",Entire home/apt,2
11419512,Brand New Building/Apt - Great Area,Private room,0
13239181,1 Bedroom in 2 Bedroom Apartment,Private room,0
28230432,Comfy sofa close to Manhattan!,Shared room,0
629315,1BD brownstone apt in Fort Greene!,Entire home/apt,2
29360292,COZY ROOM TO CRASH,Private room,1
23955297,Sunny Harlem room: Ideal sublet for summer intern,Private room,0
1275942,nice room in bedstuy H,Private room,0
7472710,"The large, sunny  two people room. 20 min to city!",Private room,1
1824808,LOCATION LOCATION LOCATION Abigail,Entire home/apt,2
5735323,Central Park Brownstone Studio,Entire home/apt,2
56525,1 Bedroom Loft w/ Private Roof Deck,Entire home/apt,2
13039351,Whole Apartment in Fort Greene,Entire home/apt,2
16310798,Hotel Room King/Queen at Wyndham Midtown 45 Resort,Private room,3
21095546,Urban Sanctuary in Sunset Park,Entire home/apt,1
9231257,Cozy Studio,Entire home/apt,1
28965064,Bright clean modern spacious with big front porch!,Entire home/apt,2
844319,"XL 90m2 2BR Victorian area,sleeps 7",Entire home/apt,2
7772377,"Large, Spacious, Bright Apartment",Entire home/apt,2
34646105,STYLISH 2 BEDROOM IN LUXURY BUILDING ROOF & GYM,Entire home/apt,3
13418942,A Touch of Modern in Cultural NYC,Private room,2
10052674,Garden level apt w Bocci court/grill in backyard,Entire home/apt,0
27505253,Private room with king sized bed in Brooklyn.,Private room,1
27987939,"Spacious, Private LIC Studio 2 Blocks to Train!",Entire home/apt,2
17234796,Astoria 1BR in Quiet Corner Close to Manhattan,Entire home/apt,0
26431251,Captain's Cabin 001/Apmnt like,Private room,0
3434471,Spacious 2 BDR Apt. Upper West Side,Entire home/apt,2
9967218,"Large, Open, Beautiful Apartment",Entire home/apt,1
33897838,NEW- Sunny and Modern Cobble Hill 1 Bedroom,Entire home/apt,2
13076852,Stylish Art-Filled Clinton Hill Apartment,Private room,2
126816,Gorgeous Upper West Side Apartment,Private room,1
1240530,Large Sunny Room in Brooklyn,Private room,1
8686361,Elegant Queen size bed room.,Private room,0
25377317,Cute and Quaint Studio in Astoria!,Entire home/apt,1
17117631,The Corky Hale Room at Harlem Townhouse,Private room,2
28614707,"Artist's nest, in the heart of the East Village",Entire home/apt,2
9682898,Bright room in Williamsburg,Private room,1
24678015,"A place to sleep the night near NYC,RUMC, Brooklyn",Entire home/apt,0
24086562,Harlem Sanctuary,Private room,1
3499251,Classic Upper West Side studio loft,Entire home/apt,2
35715382,Nice thing,Shared room,2
24561950,Modern Apartment with wall-size windows,Entire home/apt,0
33549508,Musical loft sanctuary with private roof deck,Entire home/apt,2
29104053,Gem of East New York,Private room,2
31715312,Manhattan Studio 4,Entire home/apt,2
6501082,3BR Williamsburg Duplex w/Backyard,Entire home/apt,3
19619393,"ENTIRE APT | BRIGHT 2 BED | Q, B & PROSPECT PARK",Entire home/apt,2
12812370,Newly updated studio with luxury charm,Entire home/apt,2
30268825,Amazing Studio In Best Part of NYC,Entire home/apt,2
29012098,Cozy Private Room,Private room,0
3060297,Great Chelsea block near Highline & Subways,Entire home/apt,1
29186254,Mesmerized Penthouse,Entire home/apt,2
19180868,Central Park at your Door!,Private room,0
25688649,Brooklyn Bedstuy Beauty,Entire home/apt,2
8388864,Quiet Bedroom in Cobble Hill,Private room,0
4523324,Large private 2 bedroom near Union Sq .,Private room,2
22187068,Luxury Condo - Heart of Williamsburg,Entire home/apt,2
2056307,1 room in HUGE 2Bedroom/1.5 Bath,Private room,2
24807368,Sunny 2BR Apt Near Columbia University,Entire home/apt,2
11431526,"Huge, Sunny Carroll Gardens 1BR Apt",Entire home/apt,2
35841507,Scandinavian style 1Br with city view,Entire home/apt,2
28560837,Rock Rock Rockaway Beach House,Entire home/apt,2
4392351,MURRAY HILL! your home.. BEAUTIFUL,Entire home/apt,1
3642801,"Cozy Brooklyn  studio, 30 min to Manhattan",Entire home/apt,1
1292428,Room in Great Loft - Fun/Convenient,Private room,2
30393759,Smart Studio in Heart of West Village w/ Doorman by Blueground,Entire home/apt,3
7091014,Cute and Cozy in South Slope/Gowanus Brooklyn,Private room,1
10412649,Large bright room in prime Bushwick,Private room,1
8347980,Large Modern Studio Next To The Park,Entire home/apt,2
6400255,Studio in Lux Building on UWS!,Entire home/apt,2
7435577,Comfy Modern Bklyn 1BR + Guest BR,Entire home/apt,2
29463258,It's always sunny in Hells Kitchen,Entire home/apt,2
24022943,Large Opulent Studio Apartment Near Prospect Park,Entire home/apt,1
19523180,Beautiful private room in historic brownstone.,Private room,1
850435,Sunny Loft in Brooklyn next to Bedford L,Entire home/apt,0
13496318,Amazing Park Slope Duplex plus Finished Basement.,Entire home/apt,3
17255526,Brooklyn Bushwick,Private room,0
34208674,Amazing 5 bed/2 bath Duplex 10 min from Manhattan!,Entire home/apt,3
4821786,Sunny & Cozy 1 Bedroom Apartment,Entire home/apt,1
26807942,Room in East Village,Private room,0
22160989,Harlem Luxury Condo !New! 2 Full Bedrooms Balcony,Entire home/apt,2
22534758,Beautiful Williamsburg Condo with Private Roof,Entire home/apt,3
2653186,"Bright, spacious 1BR in UES",Entire home/apt,1
34036011,Charming East Village Penthouse Studio Apartment,Entire home/apt,2
7733241,Amazing room in Williamsburg House,Private room,1
34544052,"LYRIC - 1 Bedroom Executive Suite, 2 Bath, Kitchen",Entire home/apt,3
51572,Prime Location in Manhattan,Private room,2
27316669,Bronx Apart,Private room,0
26988550,King Bed on Queens/Brooklyn Border,Entire home/apt,1
13595786,Light and spacious 2 bedroom loft in Bushwick,Entire home/apt,2
34169778,22min from Manhattan,Private room,0
18776908,Luminous studio in Union Square,Entire home/apt,2
27953771,Best Brooklyn location - stylish and comfortable,Entire home/apt,2
16965072,Large Bright Home on 2 floors perfect for families,Entire home/apt,2
13881020,Courtyard facing private room in Sugar Hill,Private room,0
20682422,Private room with all you need,Private room,0
1956677,"The ""Humphrey Bogart""",Entire home/apt,2
9479348,Penthouse Duplex & Roof Top Terrace,Entire home/apt,3
34535182,J & G Comfort Cove:  Serenity Queen Room,Private room,2
13361613,Bright Architectural Oasis w/Chef’s Kitchen #10305,Entire home/apt,3
31772667,A3 Delightful Budget private room,Private room,0
548184,Cozy Room in GREENPOINT Apt. YeY,Private room,2
20134453,Modern 1 Bedroom Near Union Square & East Village,Entire home/apt,2
9662070,Large private bedroom in bushwick,Private room,0
17463985,Luxury Brooklyn Brownstone with Private Backyard,Entire home/apt,2
2870603,One Bedroom Apartment,Entire home/apt,0
33885308,"Spacious, natural light room in EAST WILLIAMSBURG",Private room,0
35025921,New Studio in UWS steps from Central Park #6122,Entire home/apt,2
10855464,"A Spacious, Bright Brooklyn Bedroom",Private room,0
319844,Cute Room in Historic Loft!,Private room,1
22775292,HUGE Bushwick Room with TERRACE & Pool,Private room,0
31174610,Brilliant BR w/ Private Bath near LGA & Manhattan,Private room,0
35655420,Midtown 2 Bedroom w King bed near Madison Ave,Entire home/apt,2
29963540,"Bushwick, Prvt Room/Prvt Bath, 20mins to Manhattan",Private room,1
5742615,"Spacious, Renovated 1 BR Loft Apt",Entire home/apt,2
15286036,Spacious Tribeca loft! Roofdeck & close to trains,Entire home/apt,3
32445673,Sunny King-Sized Manhattan 1BR w/Views Awaits You!,Entire home/apt,1
13149690,Private Cozy Bedroom - Central Park North,Private room,1
35184104,Bedroom in Penthouse Apartment,Private room,2
32737169,Perfect UWS Furn. Rooms By Central Park & Transit,Private room,1
5811254,A beautiful Brownstone in Bed-Stuy.,Entire home/apt,2
24489174,"Comfortable,Spacious,clean Private Room",Private room,0
18173787,Cute Tiny Room Family Home by LGA NO CLEANING FEE,Private room,0
35902528,Trendy4BR 2Baths Family Home| 10 min to Midtown,Private room,3
31322232,Luxury 4 BR Apartment-25 minutes from the city,Entire home/apt,2
12648471,Spacious 3 Bedroom in Park Slope,Entire home/apt,2
19708955,Good Vibes Tribeca Loft,Entire home/apt,3
27385494,LUXURY 2 BR ON WEST 56TH ST-POOL/GYM/CLUB HOUSE,Entire home/apt,3
24136172,Sunny Studio Williamsburg w/ Private Bath&Entrance,Private room,1
5418807,Home away From Home in Queens!,Private room,0
9883870,2 BR Apt Near Central Park UES,Entire home/apt,2
13921462,Sunny and spacious apartment in Brooklyn,Private room,0
3629381,Cozy UES apartment with balcony near Central Park,Entire home/apt,2
14181565,Perfect blend of urban and village atmosphere,Private room,1
22631617,"Calm, cozy bedroom in the heart of Brooklyn!",Private room,0
16439426,Spacious Room in Large 2 Bedroom Prewar Apartment,Private room,0
30705353,Modern Brooklyn Brownstone Garden Apartment,Entire home/apt,2
21182937,Cozy Apartment. 15 mins away from LGA & Manhattan,Entire home/apt,2
35575060,Brand New Modern 3 Bedroom Greenpoint apartment!,Entire home/apt,2
16391952,Large Private Room in Quiet BK Heights Apartment,Private room,0
30423106,Lou's Palace-So much for so little,Private room,0
3043029,2 bedroom in the East Village,Entire home/apt,2
3642325,Luxurious Brooklyn 2BD w/ Parking,Entire home/apt,2
19559780,Quiet Room Close to Central Park,Private room,0
23700333,Private room only 1 min from Empire state Building,Private room,2
27140780,Bright cozy private room in stylish Brooklyn apt,Private room,0
12358120,Sunny 1BR apartment in Chelsea,Entire home/apt,2
25251220,"Very Quiet 'nd Safe, overlooking backyard gardens",Entire home/apt,2
36448215,Welcome to Quite Cozy,Private room,0
36085870,The Game Room Place,Private room,2
33763207,Lady's Powder Room,Private room,0
31729652,Sunny Studio located in the heart of Harlem,Entire home/apt,1
20212707,"Quite, clean & relaxing double bed room",Private room,0
35638944,☀Bright & sunny townhouse | Perfect for families ☀,Entire home/apt,2
1461814,Zen Supersized Master Suite,Private room,0
36444734,Sunny Upper West Side Apt. 3mins from Central Park,Entire home/apt,2
24580943,"Sisters Suite in theHeights
Se habla Español",Private room,2
28520092,2BR APT NEXT TO CENTRAL PARK & TIMES SQUARE,Entire home/apt,3
772362,TIMES SQ/THEATRE DIST STUDIO,Entire home/apt,2
8889423,Beautiful Upper West Side Large 1BD,Entire home/apt,2
4687896,Adelphi Garden Apartment,Entire home/apt,1
26664837,Great renovated apartment 1 block away from train,Entire home/apt,1
12703851,Large stylish Mid Century Duplex in Clinton Hill,Entire home/apt,2
10482237,Interfaith Retreat Guest Rooms (Ganges),Private room,1
9282032,Cozy 1br in the Heart of Kips Bay,Entire home/apt,2
21054012,Ashes Cove,Entire home/apt,2
15552901,Near at the JFK 15 minutes,Private room,0
27551182,Big Lofty Apartment with Beautiful Rooftop,Private room,2
21564596,"Large,Bright & fully Furnished room in a 3 bdm Apt",Private room,1
35742470,⍟Times Square | The Feeling of Home in Manhattan⍟,Entire home/apt,3
4137979,Williamsburg/Greenpoint Studio,Entire home/apt,2
35481836,Duplex Residence with Breathtaking NYC View!,Entire home/apt,3
16498335,Spacious private room Uptown NYC,Private room,0
35462054,Modern Private BR in Fort Greene Cumberland,Private room,0
8285992,Large and Charming East Village Apt,Entire home/apt,2
24287367,Come Explore The Bronx And 30 Mins to Manhattan,Private room,1
15339227,"Spacious room in a clean, quiet and cozy home.",Private room,1
30775672,Private room in sunny apartment in Williamsburg,Private room,1
14266097,The Brooklyn Vibe,Entire home/apt,2
35803621,TRANQUIL HAVEN-8 MINS TO JFK/LIRR/AIRTRAIN RM#2.,Private room,0
13727995,Large Bedroom in Bushwick,Private room,0
25484398,BRIGHT & AIRY APARTMENT IN GREENPOINT,Entire home/apt,1
177495,"PRIME, Luxury, Spacious 2 Bedroom Apt in Chelsea",Entire home/apt,3
28661866,Gorgeous Bedroom in the heart of Bushwick Him-3R-4,Private room,0
26785267,Comfy and Bright Bedroom in Brooklyn Chinatown,Private room,0
7510770,Cozy Small Bedroom w/Bathroom. Balcony & Open Bar.,Private room,0
34490360,Spacious Studio-Style Junior Suite Two Queen beds,Private room,1
5490833,Brooklyn Luxury,Private room,1
21955216,"Bright, contemporary Kips Bay Studio apt",Entire home/apt,3
23251775,1 BR Flat in Williamsburg (3 blocks from  Bedford),Entire home/apt,2
20836753,Apartment-Styled space in Queens. 10Min from JFK.,Private room,0
24289129,My Times Square Oasis,Entire home/apt,2
9759957,One Bedroom in Washington Heights,Private room,0
9856683,"Large n Cozy Apt, 30 min to Midtown,Month Discount",Entire home/apt,1
1965766,LARGE Studio in elevator building!,Entire home/apt,2
18871571,"Sunny 1 Bedroom Apt, Lower East Side, Manhattan",Private room,2
9577006,Private Bedroom,Private room,0
3861713,2 BRs with private entrance/kid-fr,Private room,1
22048368,Private room in bright Greenpoint apartment,Private room,0
27055213,Cozy Brooklyn Studio in Williamsburg (Graham L),Entire home/apt,2
22477997,Speakeasy Inn Bushwick Two,Private room,0
30915138,Private Bedroom in Upper East Side-Central Park,Private room,1
27707814,Great Room Great Price,Private room,0
29685583,"SPACIOUS MANHATTAN ROOM 
NO EXTRA FEE",Private room,0
13058729,Sunlit Bedroom in Crown Heights.,Private room,0
10684164,Private 1 Bdrm Apt - Prospect Park,Entire home/apt,1
19504042,My Sweet Room,Entire home/apt,0
17117602,Sunny Brick wall bedroom in Lower East Side,Private room,1
6006837,Large private bdrm in S. Park Slope,Private room,1
16634642,Room in Greenpoint,Private room,1
3575859,GREENWICH VILLAGE ROOM WITH PR.BATH (DM 4 monthly),Private room,2
35192077,Lovely studio in the heart of East Village,Entire home/apt,2
5059402,1BR with backyard in Williamsburg!,Private room,1
614269,Full Apt! L Train On The Corner!!,Entire home/apt,1
8117213,Luxury Highline living West Chelsea Hudson Yards,Entire home/apt,2
35709825,Studio w Laundry Minutes from Major Attractions ☆,Entire home/apt,2
21923722,Greenpoint getaway,Entire home/apt,1
3816499,2,Private room,1
16275257,Cosy room in Brooklyn,Private room,1
4163781,Sun Soaked & Cozy PR Williamsburg,Private room,1
14322182,Greenpoint amazing private room,Private room,0
22175513,Spacious Bed & Private Bath in Renovated Townhouse,Private room,1
29856229,GREAT FURNISHED BEDROOM NEAR MIDTOWN MANHATTAN,Private room,0
723507,Space! Light! Charm! 1BR close to subways & park,Entire home/apt,2
16148563,Gorgeous Brand New Condo,Entire home/apt,2
34051551,"靠近机场,交通购物两便利大房间#1",Private room,0
26632917,Casa Maritza,Entire home/apt,2
3769052,Great Sunny Spacious Room,Private room,0
30792105,Wonderful Queen Room Next to Manhattan,Private room,0
16086382,Modern loft in the heart of the East Village.,Entire home/apt,2
25237818,East Harlem Room Available (Females Only),Private room,0
26867888,Brooklyn private luxury room with private bathroom,Private room,2
15204218,CLEAN Room w/PRVT BATH_NearSubway_3 StopsToManhatn,Private room,1
29546751,Private apartment 10 min walk from train,Entire home/apt,2
29697411,Large Cozy Bedroom Near Manhattan & Airport,Private room,0
30717533,Large Private Room in Crown Heights BK,Private room,0
30393803,Stately Central Chelsea 1BR w/ Gym + Doorman by Blueground,Entire home/apt,3
12602212,Violet Sunset Room,Private room,0
32464368,"Sunny, Massive East Village Loft",Private room,0
29656082,The Perfect Room 1 stop to East Village!,Private room,1
34994129,New Lux 1 Bed in UWS steps to Central Park #6124,Entire home/apt,2
29515558,"A Comfortable Place, 15 min to JFK & 30 min to NYC",Private room,0
14582793,Nice and comfortable 2/B Apartment,Entire home/apt,2
22615158,Private Room Upper West Side,Private room,1
35417968,BROOKLYN 2 BEDROOMS,Entire home/apt,3
30982372,Magnificent Industrial Chic 3 Bedroom Loft,Entire home/apt,3
30823817,New York Lovely Quiet Room near to Time’s Square,Private room,2
11825152,Modern Comfort in Upscale BK- Steps from Ferry!,Private room,1
17891040,Brooklyn Bay Ridge area★★明るいお部屋★,Private room,0
23935141,"Sun-filled, Mod 3BR Apt Steps from Prospect Park",Entire home/apt,2
21936288,Infinite Bliss,Private room,0
28181243,"Kosher, newly renovated, stylish 1 bedroom",Entire home/apt,2
29904478,Cozy room in the heart of Bushwick,Private room,0
35937316,Private Room in heart of East Village,Private room,1
32638687,Rustic Williamsburg Loft,Entire home/apt,2
29835041,Hudson Yard - Comfy Queen Room,Private room,2
23671009,"PARK SLOPE REDESIGNED apt 2 BDRS trains F,G,R,2,3!",Entire home/apt,2
22256926,Beautiful room in Brooklyn,Private room,0
10407271,Luxury Bushwick Apartment,Entire home/apt,1
34753453,Extra room 420friendly & breakfast,Private room,1
20257297,Williamsburg Sky,Entire home/apt,3
36387296,Cozy basement studio in Brooklyn,Private room,1
30590921,Feels Like Home Near JFK and LGA,Private room,0
34888503,Charming town of Tottenville right outside NYC,Entire home/apt,1
7417371,Private room in Nolita / SOHO,Private room,1
22212969,Large 3 Bedroom Luxury Apartment in Williamsburg,Entire home/apt,2
32740475,Sonder | The Nash | Cozy Studio + Grilling Area,Entire home/apt,2
24472398,Sunny Apt/Park Slope Brooklyn 25 min. ride to city,Private room,0
11654372,Amazing Combo Bedroom/Living Space,Private room,0
26896906,"Large, exclusive room with suite-like atmosphere",Private room,1
8017587,Lovely 1BR West Village Apartment,Entire home/apt,2
28157869,Brooklyn Guest Suite,Shared room,0
35791325,Stunning Full Floor Apartment in the Village,Entire home/apt,3
21826266,Cozy Manhattan private room @Excellent location,Private room,0
35065348,MASTER  ROOM # 2 Near from JFK  & LGA Airport.,Private room,1
25776914,BROOKLYN Quiet Den,Private room,0
2158171,Luxury NYC Studio for Super Bowl 48,Entire home/apt,3
